id,code,name,user_type_id:id,reconcile,chart_template_id:id
10,10,Software,account.data_account_type_fixed_assets,FALSE,l10n_tt
11,11,Software Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_tt
20,20,Patents & Trademarks,account.data_account_type_fixed_assets,FALSE,l10n_tt
21,21,Patents & Trademarks Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_tt
30,30,Fixtures and fittings,account.data_account_type_fixed_assets,FALSE,l10n_tt
31,31,Fixtures and fittings Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_tt
40,40,Land and buildings,account.data_account_type_fixed_assets,FALSE,l10n_tt
41,41,Land and buildings Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_tt
50,50,Motor vehicles,account.data_account_type_fixed_assets,FALSE,l10n_tt
51,51,Motor vehicles Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_tt
60,60,Office equipment (inc computer equipment),account.data_account_type_fixed_assets,FALSE,l10n_tt
61,61,Office equipment (inc computer equipment) Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_tt
70,70,Plant and machinery,account.data_account_type_fixed_assets,FALSE,l10n_tt
71,71,Plant and machinery Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_tt
1001,1001,Stock,account.data_account_type_current_assets,TRUE,l10n_tt
1002,1002,Work in Progress,account.data_account_type_current_assets,FALSE,l10n_tt
1003,1003,Finished Goods,account.data_account_type_current_assets,FALSE,l10n_tt
1100,1100,Accounts Receivable,account.data_account_type_receivable,TRUE,l10n_tt
1101,1101,Sundry Debtors,account.data_account_type_receivable,TRUE,l10n_tt
1102,1102,Other Debtors,account.data_account_type_current_assets,FALSE,l10n_tt
1104,1104,Debtors Control Account (PoS),account.data_account_type_receivable,TRUE,l10n_tt
1240,1240,Company Credit Card,account.data_account_type_current_assets,TRUE,l10n_tt
1103,1103,Prepayments,account.data_account_type_current_assets,FALSE,l10n_tt
2100,2100,Creditors Control Account,account.data_account_type_payable,TRUE,l10n_tt
2101,2101,Sundry Creditors,account.data_account_type_current_liabilities,FALSE,l10n_tt
2102,2102,Other Creditors,account.data_account_type_current_liabilities,FALSE,l10n_tt
2200,2200,Sales Tax Control Account,account.data_account_type_current_liabilities,FALSE,l10n_tt
2201,2201,Purchase Tax Control Account,account.data_account_type_current_assets,FALSE,l10n_tt
2202,2202,HMRC - VAT Account,account.data_account_type_payable,TRUE,l10n_tt
2204,2204,Manual Adjustments ﾖ VAT,account.data_account_type_current_liabilities,FALSE,l10n_tt
2210,2210,P.A.Y.E.,account.data_account_type_payable,TRUE,l10n_tt
2220,2220,Health Surcharge,account.data_account_type_payable,TRUE,l10n_tt
2230,2230,Employers NIS,account.data_account_type_payable,TRUE,l10n_tt
2240,2240,Employee NIS,account.data_account_type_payable,TRUE,l10n_tt
2250,2250,Net Wages,account.data_account_type_payable,TRUE,l10n_tt
2260,2260,Pension Fund,account.data_account_type_payable,TRUE,l10n_tt
2150,2150,Bad debt provision,account.data_account_type_current_liabilities,FALSE,l10n_tt
2320,2320,Corporation Tax,account.data_account_type_payable,TRUE,l10n_tt
2310,2310,Hire Purchase,account.data_account_type_current_liabilities,FALSE,l10n_tt
2330,2330,Mortgages,account.data_account_type_current_liabilities,FALSE,l10n_tt
3000,3000,Called up share capital,account.data_account_type_equity,FALSE,l10n_tt
3010,3010,Share premium account,account.data_account_type_equity,FALSE,l10n_tt
3020,3020,Revaluation reserve,account.data_account_type_equity,FALSE,l10n_tt
3030,3030,Other reserves,account.data_account_type_equity,FALSE,l10n_tt
4000,4000,Sales category 1,account.data_account_type_revenue,FALSE,l10n_tt
4001,4001,Sales category 2,account.data_account_type_revenue,FALSE,l10n_tt
4002,4002,Sales category 3,account.data_account_type_revenue,FALSE,l10n_tt
4003,4003,Sales category 4,account.data_account_type_revenue,FALSE,l10n_tt
5000,5000,Cost of sales 1,account.data_account_type_expenses,FALSE,l10n_tt
5001,5001,Cost of sales 2,account.data_account_type_expenses,FALSE,l10n_tt
5002,5002,Cost of sales 3,account.data_account_type_expenses,FALSE,l10n_tt
5003,5003,Cost of sales 4,account.data_account_type_expenses,FALSE,l10n_tt
6000,6000,Marketing,account.data_account_type_expenses,FALSE,l10n_tt
6001,6001,Exhibitions and events,account.data_account_type_expenses,FALSE,l10n_tt
6002,6002,PR,account.data_account_type_expenses,FALSE,l10n_tt
6010,6010,Distribution vehicles,account.data_account_type_expenses,FALSE,l10n_tt
6020,6020,Distribution salaries and wages,account.data_account_type_expenses,FALSE,l10n_tt
6030,6030,Shipping,account.data_account_type_expenses,FALSE,l10n_tt
7000,7000,Directors pension,account.data_account_type_expenses,FALSE,l10n_tt
7001,7001,Directors remuneration,account.data_account_type_expenses,FALSE,l10n_tt
7010,7010,Admin gross salaries,account.data_account_type_expenses,FALSE,l10n_tt
7011,7011,Management gross salaries,account.data_account_type_expenses,FALSE,l10n_tt
7012,7030,Employers NIS expense,account.data_account_type_expenses,FALSE,l10n_tt
7020,7020,Subcontractors payments,account.data_account_type_expenses,FALSE,l10n_tt
7610,7610,Consultancy,account.data_account_type_expenses,FALSE,l10n_tt
7620,7620,Legal and professional charges,account.data_account_type_expenses,FALSE,l10n_tt
7601,7601,Accounting,account.data_account_type_expenses,FALSE,l10n_tt
7602,7602,Auditing,account.data_account_type_expenses,FALSE,l10n_tt
7110,7110,Light,account.data_account_type_expenses,FALSE,l10n_tt
7100,7100,Rent and rates,account.data_account_type_expenses,FALSE,l10n_tt
7120,7120,Repairs,account.data_account_type_expenses,FALSE,l10n_tt
7300,7300,Car hire,account.data_account_type_expenses,FALSE,l10n_tt
7301,7301,Car fuel,account.data_account_type_expenses,FALSE,l10n_tt
7302,7302,Car maintenance,account.data_account_type_expenses,FALSE,l10n_tt
7502,7502,Telephone,account.data_account_type_expenses,FALSE,l10n_tt
7503,7503,Internet & hosting,account.data_account_type_expenses,FALSE,l10n_tt
7504,7504,Mobiles,account.data_account_type_expenses,FALSE,l10n_tt
7505,7505,Stationery,account.data_account_type_expenses,FALSE,l10n_tt
7506,7506,Office consumables,account.data_account_type_expenses,FALSE,l10n_tt
7507,7507,Postage and Carriage,account.data_account_type_expenses,FALSE,l10n_tt
7508,7508,Books,account.data_account_type_expenses,FALSE,l10n_tt
7509,7509,Network costs,account.data_account_type_expenses,FALSE,l10n_tt
7510,7510,Software expenses,account.data_account_type_expenses,FALSE,l10n_tt
7511,7511,Other computer costs,account.data_account_type_expenses,FALSE,l10n_tt
7512,7512,Recruitment fees,account.data_account_type_expenses,FALSE,l10n_tt
7513,7513,Other admin expenses,account.data_account_type_expenses,FALSE,l10n_tt
7700,7700,Exchange gains/losses,account.data_account_type_expenses,FALSE,l10n_tt
7710,7710,Other sundry expenses,account.data_account_type_expenses,FALSE,l10n_tt
7850,7850,Bad debts,account.data_account_type_expenses,FALSE,l10n_tt
7910,7910,Bank,account.data_account_type_expenses,FALSE,l10n_tt
8000,8000,Intangible assets depn,account.data_account_type_expenses,FALSE,l10n_tt
